s_1;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_10;s_11;s_12;s_13;s_14;s_15;s_16;s_17;s_18;s_19;s_20;s_21;s_22;s_23;s_24;s_25;s_26;s_27;s_28;s_29;s_30;s_31;s_32;s_33;s_34;s_35;s_36;s_37;s_38;s_39;s_40;s_41;s_42;s_43;s_44;s_45;s_46;s_47;s_48;s_49;s_50;s_51;s_52;s_53;s_54;s_55;s_56;s_57;s_58;s_59;s_60;s_61;s_62;s_63;s_64;s_65;s_66;s_67;s_68;s_69;s_70;s_71;s_72;s_73;s_74;s_75;s_76;s_77;s_78;s_79;s_80;s_81;s_82;s_83;s_84;s_85;s_86;s_87;s_88;s_89;s_90;s_91;s_92;protein;gene
14081,7002;25027,09961;20707,69922;NaN;35816;36734,10156;37782,39844;41363,80078;24812,30078;23062,5;40407,80078;35863,10156;23996,59961;22180,30078;25650,59961;43933,30078;20136,40039;18111,5;21829,69922;27145;27067,90039;35126,5;34019,39844;28391,90039;13924,7998;16319,7002;19723,90039;20568;13014;9209,860352;12007,5;11603,7998;31302,30078;23024,69922;23121,5;22850,40039;30166,5;29369,90039;36014,10156;41244,30078;20231;20200,40039;13646,59961;19514,09961;20087,09961;16641,90039;25811;20917,5;11226,90039;21417,30078;17982,30078;40661,19922;14690,7002;16237,7002;14060,90039;16132,2998;25588,30078;27622,69922;24128,40039;19543,59961;14518,40039;16478,30078;10120,2998;12960,5;28431,19922;21852,59961;15219,09961;37266;25748;20678,5;29786;29475,80078;23064,90039;24183,80078;26105,59961;24394,40039;11470,5;17590,5;15957;12920;19802,80078;18257,30078;22226,5;19454;13912;17170,30078;19529,19922;18950,59961;17107,5;18788,40039;23402;14083,90039;P04217;A1BG
31309,40039;33098,5;31784,40039;298779;36074,19922;71756,10156;59427,80078;85582,60156;34600,39844;42777,5;59025,60156;73730,5;36985,10156;30084,69922;50572,60156;62127,30078;18833,59961;25478,5;30357,5;34166,30078;56749,60156;64398,5;67163,70313;62366,19922;11318,09961;11902,5;15928,7002;23300,5;21992,5;15798;18120,30078;18915,40039;52985,69922;38889,39844;31453,19922;33977,5;34602,80078;44101,30078;36668,60156;59209,69922;25483,5;26303,69922;25179,40039;26296,40039;33741;25019,19922;37283,80078;33120,5;21706,80078;30422,30078;22683,90039;68923;16255,7998;10737,90039;18786,09961;14311,40039;46062,69922;39662,10156;34281,60156;23841,5;11522,7998;14320,90039;11130,09961;13354,2002;30576,40039;20748,90039;16495,59961;28666;28256,30078;29111,09961;45536,69922;44381,5;23613,69922;30411,90039;34071,5;29808,19922;14058,90039;20511,30078;19107,30078;15198,2998;16115,59961;21732,5;12624,7002;17978,90039;24902,19922;21755,5;35031;27208,30078;23129,30078;26835;27579,69922;22297,19922;P01023;A2M
185625;225878;157339;NaN;149667;214856;140541;113815;175946;184807;140679;156869;145144;201151;134190;145874;208607;255785;101106;129186;165943;233616;154345;161483;212741;217107;89468,60156;133804;162046;180281;172653;163499;208978;178095;199052;156470;269494;232776;195852;202880;220273;242031;159297;182025;201265;184338;156907;136736;192078;243241;195324;190240;189593;130589;208766;168311;181037;160331;184005;205790;151285;157295;141521;168302;181552;205362;179400;118848;198753;221199;205008;205894;170060;225524;110090;105303;162842;266086;151496;193507;178132;176141;163378;135500;195052;202700;137579;166704;157924;186660;108326;128062;Q9H7C9;AAMDC
5781,580078;5038,549805;6210,680176;NaN;6546,149902;4881,080078;7488,120117;5975,160156;5404,930176;4798,600098;5893,310059;5527,439941;4708,970215;5405,850098;6068,720215;5982,740234;4939,359863;6116;5705,75;5845,779785;5518,950195;4076,679932;5551,97998;5547,189941;5151,660156;5714,180176;6072,049805;6041,02002;5512,129883;5147,100098;6166,029785;5208,97998;4785,709961;4813,529785;5582,540039;5122,930176;5033,5;4306,100098;4757,540039;5165,660156;5457,879883;5090,640137;5138,759766;5502,160156;5943,540039;6298,22998;7017,490234;5530,189941;5626,970215;5580,689941;5950,680176;5200,470215;4422,299805;4637,620117;5893,140137;4197,870117;4519,379883;5676,129883;6503,209961;5915,990234;6259,640137;5965,049805;6321,049805;6023,459961;5836,52002;5090,52002;5627,049805;4703,100098;5763,930176;4680,799805;5863,830078;4422,709961;4577,350098;5174,459961;5265,689941;4749,620117;6716,439941;6937,330078;7332,72998;5825,160156;5460,299805;6814,25;6060,140137;6474,279785;4532,200195;6319,850098;5039,310059;5798,359863;5307,640137;5503,680176;4459,700195;6145,77002;P49588;AARS
2739,610107;2943,320068;2769,699951;NaN;2466,379883;1718,5;2369,389893;2189,879883;2243,199951;2260,929932;2277,209961;2156,050049;1957,790039;2291,97998;1916,339966;2469,350098;2322,52002;2192,860107;2002,199951;2371,5;2193,149902;1968,900024;1984,329956;2041,160034;2087,929932;2774,570068;1686,219971;1889,880005;2657,699951;2963,580078;2189,580078;2564,469971;2227,050049;2798,540039;1448,27002;2843,209961;1844,719971;3001,820068;1768,800049;2454,139893;2422,800049;2367,219971;1951,829956;2855,290039;2599,320068;3598,879883;2335,800049;2329,97998;1940,47998;2140,860107;1759,189941;2624,860107;1172,650024;2651,830078;2328,129883;3638,810059;1628,959961;3115,189941;2080,070068;3508,110107;1714,51001;2393,600098;2726,649902;2389,52002;2350,050049;3186,189941;2895,969971;2041,130005;3207,030029;2805,01001;2447,379883;3118,439941;2534,840088;2186,22998;2276,659912;2182,530029;1767,420044;3023,090088;2134,97998;3826,219971;2240,77002;2438,27002;3057,070068;3560,52002;2791,399902;3844,879883;2698,040039;3865,5;2562,73999;2801,409912;1833,400024;2587,870117;Q9BTE6;AARSD1
NaN;NaN;NaN;NaN;405,0180054;NaN;339,0280151;295,4590149;554,5880127;464,5960083;161,9109955;NaN;680,1430054;1221,140015;390,2309875;536,7990112;261,9580078;444,0499878;NaN;727,4689941;NaN;NaN;275,6459961;203,2709961;NaN;136,8769989;501,5369873;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;470,2569885;NaN;325,3139954;NaN;NaN;804,8049927;270,368988;NaN;158,8789978;606,867981;960,1030273;698,6879883;NaN;529,7230225;681,3410034;794,0139771;538,8499756;NaN;NaN;NaN;245,1049957;NaN;301,0690002;NaN;166,1569977;235,0829926;364,6140137;567,2299805;556,5700073;321,4339905;379,5899963;281,0299988;NaN;NaN;588,125;216,8509979;457,3850098;NaN;242,5610046;253,8919983;631,2340088;NaN;210,5549927;278,1170044;NaN;NaN;242,4810028;NaN;NaN;536,4639893;331,5599976;333,2950134;NaN;1119,48999;397,3129883;494,2609863;1178,530029;O94911;ABCA8
3149,129883;1958,890015;2441,050049;NaN;3497,300049;2977,719971;2010,339966;3863,22998;2409,47998;3111,379883;3218,300049;1913,209961;3402,850098;NaN;3567;2789,290039;2305,840088;3255,560059;2370,52002;2387,409912;NaN;NaN;2726,120117;3213,580078;1010,799988;2098,75;1612,5;1699,219971;NaN;2290,860107;1632,130005;2397,97998;2417,080078;3084,76001;2074,629883;2495,129883;NaN;2595,139893;2813,159912;2111,449951;NaN;2064,379883;1454;2236,830078;NaN;3080,850098;2995,689941;1921,349976;1433,209961;NaN;NaN;2575,600098;1270,170044;1940,439941;1935,23999;2101,73999;2093,48999;2152,189941;2324,26001;1947,97998;2684,98999;2291,610107;1436,300049;2075,540039;1879,949951;2480,77002;2464,23999;2654,709961;1286,900024;2185,320068;1963,089966;1954,73999;2024,819946;2273,879883;1351,579956;1282,400024;1119,709961;2138,100098;1384,25;2578,23999;2133,550049;2115,149902;1227,47998;2126,780029;1657,630005;2068,129883;1408,27002;2941,070068;1539,579956;2022,359985;2523,959961;2484,350098;P61221;ABCE1
3398,169922;4116,459961;4550,109863;NaN;3705,75;3152,870117;4812,799805;5827,160156;2909,780029;2984,290039;5573,350098;3547,47998;4858,509766;3606,870117;4106,910156;3691,580078;4447,450195;3381,72998;4583,870117;3784,129883;3377,97998;3986,530029;2641,5;2895,27002;3633,530029;3201,889893;5339,609863;5167,319824;4360,549805;1995,47998;2825,179932;2861,370117;3092,699951;3510,27002;3613,570068;4889,859863;2746,429932;3238,959961;2729,949951;3640,129883;4215,759766;5106,540039;3499,879883;3342,330078;2749,969971;3398,429932;3450,580078;3529,189941;2551,590088;NaN;3176,290039;2822,570068;3822,560059;2752,320068;3600,850098;5052,830078;2836,169922;1909,219971;3711,280029;3844,97998;2471,790039;5861,390137;4559,839844;5264,790039;4214,439941;4686,299805;3751,449951;3208,22998;3525,5;4034,48999;4228,850098;3549,51001;4037,169922;3713,209961;4875,399902;6941,350098;4002,25;2901,379883;4448,160156;3248,060059;3923,810059;3222,310059;3238,419922;3988,070068;3265,879883;2049,949951;2919,219971;3495,22998;2887,699951;1958,02002;3619,590088;4423,939941;Q8NE71;ABCF1
5260,060059;3378,949951;3294,399902;249543;2432,47998;4928,220215;5660,419922;3248,600098;6690,069824;2553;4767,319824;3952,399902;5502,220215;5147,459961;5013,330078;5572,439941;6845,439941;4348,5;3805,439941;2606,22998;5941,720215;5042,290039;6249,720215;4138,450195;7006,470215;4498,410156;4535,939941;3184,47998;6372,990234;5184,77002;6877,290039;6062,240234;9861,950195;6012,27002;6989,600098;4314,370117;6610,109863;4100,189941;5357,669922;4354,299805;7209,5;4738,22998;6284,339844;5521,669922;9246,269531;6354,689941;6471,240234;4790,660156;5757,810059;6193,720215;5638,959961;2925,75;5930,649902;3163,040039;6533,899902;3188,790039;5701,189941;4593,200195;8325,700195;3330,01001;5246,740234;3343,27002;5444,049805;3809,370117;6710,149902;4654,200195;6157,52002;2422,320068;6725,370117;5695,830078;7567,830078;5181,490234;7244,649902;4579,259766;6727,200195;2958,830078;5111,22998;4898,819824;6901,870117;3941,439941;6755,169922;3640,719971;8780,679688;3708,909912;8174,089844;5865,189941;6417,830078;5086,910156;7213,609863;4929,580078;4605,569824;2437,689941;Q9NUJ1;ABHD10
2332,459961;3052,209961;2990,530029;NaN;5457,649902;2994,780029;2669,52002;2674,360107;1242,459961;5245,950195;1998,189941;4978,410156;1966,189941;2936,580078;3772,22998;3750,389893;1181,959961;4680,629883;1143,199951;5423,609863;1708,369995;7003,959961;2161,76001;10491,40039;1926,680054;2596,699951;1202,810059;3432,419922;2340,110107;3870,389893;2262,659912;5125,390137;2184,080078;3250,139893;NaN;4603,959961;1889,459961;2769,320068;1290,869995;3749,199951;1846,810059;2515,560059;2025,099976;NaN;1235,48999;3070,070068;2497,75;4172,490234;1899,829956;NaN;2216,929932;2459,100098;3064,419922;1103,880005;1141,560059;NaN;1768,560059;4915,97998;2019,560059;2311,159912;861,6090088;3073,790039;1561,780029;NaN;1431,300049;918,1929932;1536,670044;2239,530029;2107,419922;2978,389893;1708,469971;2397,419922;1423,359985;NaN;1645,130005;NaN;2331,560059;2554,399902;2031,060059;3292,840088;2328,820068;3221,139893;1642,01001;4045,51001;2008,030029;2184,590088;2251,379883;2706,360107;2310,840088;2846,879883;1719,030029;2155,620117;Q8NFV4;ABHD11
