protein,intervention,I,II
A1BG,resistance,0.13456886699160794,0.40305387127800096
A1BG,terbutaline,0.07772900536445909,0.009925640075644004
A2M,resistance,0.11923176146421507,0.48081069338465054
A2M,terbutaline,0.09391433990668355,0.0338278399783755
AAMDC,resistance,-0.5105199003139776,-0.4079830179987214
AAMDC,terbutaline,-0.19063463627990002,-0.30381980585285895
AARS,resistance,0.06694658186454282,0.16976260728183257
AARS,terbutaline,0.12878658601893975,-0.060735549049543515
AARSD1,resistance,-0.2883692900651789,-0.08096373278439328
AARSD1,terbutaline,0.11408418793670286,0.04859615449332422
ABCE1,resistance,0.11090695865584932,-0.3128258238498776
ABCE1,terbutaline,0.038877132877364315,-0.04303147281757802
ABCF1,resistance,0.05127020004579386,0.25243905878478
ABCF1,terbutaline,0.16158691144686935,0.3157509485811147
ABHD10,resistance,-0.42753684662467606,-0.09557966801384987
ABHD10,terbutaline,-0.008819485058700192,-0.3033906923257487
ABHD11,resistance,-0.1117478777188848,0.3748463645613964
ABHD11,terbutaline,0.013395146554820495,0.11030515145537612
ABHD14B,resistance,-0.21863985120233867,-0.08462299617217273
ABHD14B,terbutaline,0.08871738640602363,-0.06913403162607186
ABLIM1,resistance,0.24446211684443955,0.35164434468949457
ABLIM1,terbutaline,0.558969600868925,0.599394479733224
ABLIM2,resistance,-0.07354929003281363,0.08136268447144523
ABLIM2,terbutaline,0.1764872124109237,0.0563019155790793
ACAA1,resistance,-0.11442699327596197,0.11108756578052126
ACAA1,terbutaline,0.11326240855781086,-0.007465621218161929
ACAA2,resistance,-0.3064068410895945,-0.1069010121583649
ACAA2,terbutaline,-0.1311689594957535,-0.32565136718069504
ACACB,resistance,-0.010370341121618816,-0.2531699433374528
ACACB,terbutaline,-0.028808445469209822,0.01651350748891674
ACAD8,resistance,-0.3394929703063015,-0.08758000114340603
ACAD8,terbutaline,-0.05393132762041994,-0.2902810617957778
ACAD9,resistance,-0.2930855616119195,0.029266588779200832
ACAD9,terbutaline,0.14694874210491465,0.018099958881509694
