protein,fiber_type,resistance,terbutaline
A1BG,I,0.13456886699160794,0.07772900536445909
A1BG,II,0.40305387127800096,0.009925640075644004
A2M,I,0.11923176146421507,0.09391433990668355
A2M,II,0.48081069338465054,0.0338278399783755
AAMDC,I,-0.5105199003139776,-0.19063463627990002
AAMDC,II,-0.4079830179987214,-0.30381980585285895
AARS,I,0.06694658186454282,0.12878658601893975
AARS,II,0.16976260728183257,-0.060735549049543515
AARSD1,I,-0.2883692900651789,0.11408418793670286
AARSD1,II,-0.08096373278439328,0.04859615449332422
ABCE1,I,0.11090695865584932,0.038877132877364315
ABCE1,II,-0.3128258238498776,-0.04303147281757802
ABCF1,I,0.05127020004579386,0.16158691144686935
ABCF1,II,0.25243905878478,0.3157509485811147
ABHD10,I,-0.42753684662467606,-0.008819485058700192
ABHD10,II,-0.09557966801384987,-0.3033906923257487
ABHD11,I,-0.1117478777188848,0.013395146554820495
ABHD11,II,0.3748463645613964,0.11030515145537612
ABHD14B,I,-0.21863985120233867,0.08871738640602363
ABHD14B,II,-0.08462299617217273,-0.06913403162607186
ABLIM1,I,0.24446211684443955,0.558969600868925
ABLIM1,II,0.35164434468949457,0.599394479733224
ABLIM2,I,-0.07354929003281363,0.1764872124109237
ABLIM2,II,0.08136268447144523,0.0563019155790793
ACAA1,I,-0.11442699327596197,0.11326240855781086
ACAA1,II,0.11108756578052126,-0.007465621218161929
ACAA2,I,-0.3064068410895945,-0.1311689594957535
ACAA2,II,-0.1069010121583649,-0.32565136718069504
ACACB,I,-0.010370341121618816,-0.028808445469209822
ACACB,II,-0.2531699433374528,0.01651350748891674
ACAD8,I,-0.3394929703063015,-0.05393132762041994
ACAD8,II,-0.08758000114340603,-0.2902810617957778
ACAD9,I,-0.2930855616119195,0.14694874210491465
ACAD9,II,0.029266588779200832,0.018099958881509694
ACADM,I,-0.23473610753034382,-0.15654683790838783
ACADM,II,-0.1266022813689789,-0.4297384570004315
ACADS,I,-0.4892337045834595,-0.054945789446435626
ACADS,II,-0.053559868198231664,-0.26703245042283114
ACADSB,I,-0.5196858953337501,-0.09655330335754023
ACADSB,II,-0.16161596758976904,-0.27159950063373683
ACADVL,I,-0.3433612828185067,0.06601033159084033
ACADVL,II,-2.0407754571794e-4,-0.11113156508158895
ACAP1,I,-0.26697251876644756,-0.3644964433901082
ACAP1,II,NA,NA
ACAT1,I,-0.5067114323924911,-0.11293740764941354
ACAT1,II,-0.1513993951095678,-0.36615781260872166
ACO1,I,-0.16000838350395188,-0.09159175903057815
ACO1,II,-0.05656466560447271,-0.0909896138744825
ACO2,I,-0.30708633386737966,-0.11331028848765684
ACO2,II,-0.014307777737127658,-0.27117072095115446
ACOT13,I,-0.30946444912259913,0.10387732958508768
ACOT13,II,-0.0691522848701529,-0.23756858609720335
ACOT2,I,-0.3084053805984622,-0.06164707125347162
ACOT2,II,-0.1405260980693941,-0.26360240768990817
ACOT9,I,-0.10985491384446407,0.024609636585782944
ACOT9,II,0.3156570717802898,-0.13354916993541796
ACP1,I,-0.0931015573083884,0.052715905658665324
ACP1,II,-0.10283523630948088,-0.016700104719770643
ACSF2,I,-0.2775065656088534,-0.08864948294362211
ACSF2,II,-0.3244991528789529,-0.2893511485844968
ACSL1,I,-0.2427474920856351,-0.058489987685472485
ACSL1,II,0.03865714282756505,-0.2631782382590366
ACSL3,I,0.16754597487884354,0.13105130036206744
ACSL3,II,0.13317166246273304,0.18132356459462326
ACSS1,I,0.054749331945516184,-0.261185384059443
ACSS1,II,0.17578783655839358,-0.35945175930596
ACSS2,I,-0.15875315100099816,0.11883603364158041
ACSS2,II,0.135020883717073,0.07435530655041735
ACTA1,I,-0.15971856814908847,-0.09824487269216046
ACTA1,II,-0.09253385353904875,-0.1721079073540365
ACTB,I,0.743759876295866,0.20443304013808403
ACTB,II,0.09011077150581936,0.16411167580461505
ACTBL2,I,-0.2992547214551351,-0.03301034674299075
ACTBL2,II,-0.19085387621178418,-0.013196526633510489
ACTC1,I,0.6896523473328767,0.14257079504515507
ACTC1,II,1.9000028624076148,0.509108933514741
ACTN1,I,0.7842777996236526,-0.07961196316974117
ACTN1,II,0.12577199569976183,0.14980324263650932
ACTN2,I,-0.12871798062368914,-0.06249324848626996
ACTN2,II,-0.021866408195321263,-0.19141546275351828
ACTN3,I,-0.4732381220299535,0.034499198136673084
ACTN3,II,-0.0070052897550243465,-0.20515166531898643
ACTN4,I,0.7069518674095446,0.019815514569996067
ACTN4,II,0.31691147001568787,0.23753478979014378
ACTR10,I,0.024687678248023204,0.21588963545419465
ACTR10,II,-0.05262007357679336,-0.3365748383065972
ACTR1A,I,0.05457772817529844,0.11734666643313738
ACTR1A,II,0.1464216674062464,0.10444206542434327
ACTR2,I,0.7375910582633202,0.21806098830217926
ACTR2,II,0.3409236554466373,0.3775256014215323
ACY1,I,-0.08072061358359559,0.13661587342190684
ACY1,II,0.053244473593663466,0.04595017980713001
ACYP2,I,-0.0665957136153398,0.034637212012971035
ACYP2,II,-0.0022881379676849,-0.05323601971096329
ADAL,I,-0.31100616040377077,0.13775641166273325
ADAL,II,-0.14964064845978542,0.02076508414002447
ADCK3,I,-0.37132415775944977,-0.06914769653622248
ADCK3,II,-0.1244972779806981,-0.4007457537403232
ADH1B,I,-0.3127247538501453,-0.24880448982710163
ADH1B,II,-0.39080074875232773,-0.2907353324252064
ADH5,I,-0.2752972598191908,0.06674285016209475
ADH5,II,-0.06684574851103053,-0.06918169351539882
ADHFE1,I,-0.26409386901698284,-0.30459862693911116
ADHFE1,II,-0.07065796152502468,-0.4698212776705614
ADI1,I,0.0674548782189474,0.20928232351073475
ADI1,II,0.18983120730871628,0.36193827395135464
ADIPOQ,I,-0.08092213388562033,0.09805925632575821
ADIPOQ,II,0.17637421180549184,-0.08879899249330177
ADIRF,I,-0.07133665671556919,0.2051061567524511
ADIRF,II,0.36474599810010644,0.5233258795388489
ADK,I,0.14423489197593092,0.13886409473708314
ADK,II,-0.034927740453356115,0.0652797453949594
ADPRHL1,I,-0.004120733575742211,0.13318165062661969
ADPRHL1,II,0.16686717351046254,0.03951884966042559
ADPRHL2,I,-0.19273944202998244,-0.055850346390958504
ADPRHL2,II,-0.05415866737517283,0.01835568623546709
ADSL,I,-0.18143044895133592,-0.004190202571215205
ADSL,II,-0.1355482326234163,-0.24876528815425006
ADSSL1,I,-0.3407602624804585,-0.08617601863335636
ADSSL1,II,-0.2586874141318205,-0.4108770898553534
AFG3L2,I,-0.28552998761213494,0.008259681589258196
AFG3L2,II,-5.170229956046324e-4,-0.22200225326616416
AGK,I,-0.21714128069444374,0.0826802860081136
AGK,II,-0.06920971814257015,-0.11629501936624242
AGL,I,-0.1943406647115573,0.02003823798954448
AGL,II,-0.06007432386260003,-0.16408136305609547
AGPAT3,I,-0.08492953275260658,-1.2810176430925264
AGPAT3,II,-0.3997985824990986,-0.0971891367227542
AGPS,I,-0.3105369909614855,6.1538658936137e-4
AGPS,II,-0.213244179084097,0.025150216661440034
AGT,I,0.1270591650524803,-0.45788351601940436
AGT,II,0.3329433192403659,-0.22421538139696118
AHCY,I,-0.010521127394468215,0.15195097068776336
AHCY,II,0.17776346578259683,0.11132169099011291
AHCYL2,I,0.12097712628320474,0.17157798777998925
AHCYL2,II,0.13394160141591605,0.0760646305156727
AHNAK,I,0.27472766421798334,0.16655181638849292
AHNAK,II,0.14227554228038475,0.20761507967635998
AHSA1,I,0.20414060415066468,-0.03362294129864498
AHSA1,II,0.15712731395415375,-0.02504998500536941
AHSG,I,0.2906138495407879,0.018008299965669557
AHSG,II,0.4208217376693413,0.047998154594312815
AIFM1,I,-0.27852062025240115,-0.0028564303453252594
AIFM1,II,-0.033233328302086695,-0.1240318550857847
AIMP1,I,0.15337676824938054,-0.03074518310514348
AIMP1,II,0.02597596236175881,0.05368739620022037
