Cluster,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
res_i,GO:0045333,cellular respiration,115,-0.7026144028207036,-3.607122935433458,2.1641515241126835e-30,4.696208807324523e-27,3.1619392794404263e-27,454,"tags=77%, list=21%, signal=64%",PDHA1/COA6/IDH3G/NDUFS6/NNT/SDHA/SUCLG2/DLST/COX6B1/NDUFB7/OGDH/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/GPD1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0015980,energy derivation by oxidation of organic compounds,143,-0.636170333214678,-3.4318213810546956,1.9515637203208875e-27,2.117446636548163e-24,1.4256686546344168e-24,556,"tags=74%, list=26%, signal=59%",ADSL/HCCS/SIRT3/NDUFV3/MFN2/PPP1R2/STOML2/AGL/PHKB/CHCHD2/IDH3B/PDHA1/COA6/IDH3G/NDUFS6/NNT/ACADM/SDHA/PYGM/PFKM/SUCLG2/DLST/COX6B1/NDUFB7/PPP1R1A/ADHFE1/OGDH/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/GPD1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/ACADVL/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/PHKG1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0009060,aerobic respiration,100,-0.703825963980017,-3.5412266602193587,5.8396696416934926e-27,3.945984230955708e-24,2.6568159653487866e-24,454,"tags=78%, list=21%, signal=64%",PDHA1/COA6/IDH3G/NDUFS6/NNT/SDHA/SUCLG2/DLST/COX6B1/NDUFB7/OGDH/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/SURF1/NDUFA10/NDUFA5/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/NDUFS8/DLAT/MDH1/COX4I1/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/NDUFS3/COX7C/DLD/COX6C/NDUFB11/SDHB/UQCRH/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0006091,generation of precursor metabolites and energy,193,-0.5699271683260009,-3.218687501254635,7.273703651531259e-27,3.945984230955708e-24,2.6568159653487866e-24,558,"tags=68%, list=26%, signal=55%",PRKAG1/ENO2/ADSL/HCCS/SIRT3/PGK1/GAPDH/NDUFV3/MFN2/PPP1R2/STOML2/AGL/PHKB/CHCHD2/DHTKD1/IDH3B/ALDOA/PDHA1/COA6/IDH3G/PGK2/NDUFS6/NNT/ACADM/SDHA/PYGM/OXCT1/COX17/PFKM/SUCLG2/DLST/COX6B1/PGM1/NDUFB7/PGAM2/PPP1R1A/TPI1/ADHFE1/FECH/OGDH/NDUFA9/RBKS/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/H6PD/UQCRB/COX7A2L/SURF1/SLC25A4/ENO3/NDUFA10/NDUFA5/GPD2/COX5B/ACO2/SNCA/UQCRFS1/SUCLG1/UQCRC2/NDUFAB1/NDUFS2/FH/ALDH1L1/NDUFS8/DLAT/MDH1/GPD1/COX4I1/PHB2/CS/NDUFB9/IDH2/CHCHD10/NDUFS5/ACADVL/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/NDUFB11/ETFA/SDHB/UQCRH/PNPT1/PHKG1/SUCLA2/NDUFA13/NDUFA8/MDH2/NDUFS4/HMGCL/NDUFV2/PDHB/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/PFKFB1/NDUFA12/CYCS/LYRM7/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/COQ10A/ALDOC/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/ACAT1/NDUFA4/NDUFA11/UQCR10/SLC4A1/BPGM
res_i,GO:0022904,respiratory electron transport chain,72,-0.7791594921622026,-3.6281574923342172,3.441421281161514e-26,1.4935768360240972e-23,1.0056195238425646e-23,405,"tags=88%, list=19%, signal=73%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/NDUFA10/NDUFA5/GPD2/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/MDH1/GPD1/COX4I1/NDUFB9/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/ETFA/SDHB/UQCRH/NDUFA8/MDH2/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0022900,electron transport chain,73,-0.7607722868478594,-3.565889303884221,2.596316112075929e-25,9.39000993867461e-23,6.322257479932263e-23,405,"tags=86%, list=19%, signal=72%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/SOD2/NDUFA7/UQCRC1/NDUFB6/ETFDH/UQCRB/COX7A2L/NDUFA10/NDUFA5/GPD2/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/MDH1/GPD1/COX4I1/NDUFB9/NDUFS5/SLC25A12/ETFB/NDUFS3/COX7C/DLD/COX6C/ETFA/SDHB/UQCRH/NDUFA8/MDH2/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0006119,oxidative phosphorylation,73,-0.7455875164923566,-3.4947152993513058,1.7766842279261901e-23,4.283783082888703e-21,2.884254629662634e-21,405,"tags=81%, list=19%, signal=68%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/CHCHD10/NDUFS5/NDUFS3/COX7C/DLD/COX6C/NDUFB11/SDHB/UQCRH/NDUFA13/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/PPIF/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/NDUFA11/UQCR10
res_i,GO:0042773,ATP synthesis coupled electron transport,61,-0.7783150286393485,-3.454487846908468,1.6329368538480823e-23,4.283783082888703e-21,2.884254629662634e-21,449,"tags=92%, list=21%, signal=74%",COA6/NDUFS6/SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0042775,mitochondrial ATP synthesis coupled electron transport,61,-0.7783150286393485,-3.454487846908468,1.6329368538480823e-23,4.283783082888703e-21,2.884254629662634e-21,449,"tags=92%, list=21%, signal=74%",COA6/NDUFS6/SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/NDUFA12/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
res_i,GO:0019646,aerobic electron transport chain,58,-0.7958840177995994,-3.5278061386045585,6.102267858275556e-23,1.3241921252457956e-20,8.915734512933129e-21,405,"tags=91%, list=19%, signal=76%",SDHA/COX6B1/NDUFB7/NDUFA9/NDUFB10/NDUFA7/UQCRC1/NDUFB6/UQCRB/COX7A2L/NDUFA10/NDUFA5/COX5B/SNCA/UQCRFS1/UQCRC2/NDUFAB1/NDUFS2/NDUFS8/COX4I1/NDUFB9/NDUFS5/NDUFS3/COX7C/DLD/COX6C/SDHB/UQCRH/NDUFA8/NDUFS4/NDUFV2/NDUFS7/CYC1/NDUFB8/NDUFS1/NDUFC2/CYCS/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/UQCRQ/COX7A1/NDUFC1/COX5A/NDUFB4/NDUFA4/UQCR10
