ONTOLOGY,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
BP,GO:0061061,muscle structure development,160,0.5360831385841035,2.176233239443854,5.910339627411173e-10,1.1218867528878477e-6,1.0327075988539046e-6,214,"tags=24%, list=10%, signal=24%",MYH6/MYL3/ACTC1/MYL2/MYBPH/MUSTN1/MYH3/TNNC1/TNNI1/ATP2A2/ANKRD2/MYOZ2/XIRP1/CSRP3/KLHL40/NRAP/MYL6B/YBX1/CRYAB/MYOM3/XIRP2/TNNT1/KLHL41/FLII/ANK2/SETD3/ASS1/UCHL1/PGM5/CSRP1/NOS1/TAGLN/PDLIM1/SMTNL1/HSPB2/FLNC/LGALS1/VAMP5/FLOT2
CC,GO:0005759,mitochondrial matrix,205,0.48711409894128177,2.0208316456270503,7.715864875432239e-10,1.1218867528878477e-6,1.0327075988539046e-6,628,"tags=57%, list=30%, signal=44%",PPTC7/NADK2/NFS1/GCSH/MRPL12/SUOX/ALDH1B1/IDH3G/MRPL46/ACSS1/MRPS22/PDPR/ACOT9/MRPL17/ALDH4A1/POLDIP2/PHYKPL/HADH/MRPS7/FASTKD2/PMPCA/MMAB/PPA2/ADHFE1/MCCC2/LYRM7/SIRT5/BCKDHB/MECR/BCO2/LONP1/SUCLG1/IDH3A/HSPD1/ECH1/GSTK1/MRPS30/PDE12/CBR4/PTCD3/IDH2/ECHS1/ETFA/PDK2/ACADM/PMPCB/SARS2/ME2/DAP3/GLRX5/SUCLG2/TRAP1/IDH3B/CMC1/IVD/SHMT2/PRDX3/ACO2/DECR1/NDUFS2/GRSF1/NFU1/VDAC2/SDHA/PDP1/LRPPRC/GLUD1/COQ5/HIBCH/FH/HADHA/PPIF/PNPT1/NDUFS7/ACAA2/SSBP1/ACAT1/ABHD11/GOT2/ACADS/IBA57/MRPS11/ABHD10/ACAD8/FECH/CS/HIBADH/LYRM4/TRMT10C/LACTB2/DARS2/ALDH5A1/BDH1/SDHB/ETFB/TUFM/SUCLA2/HSD17B8/OGDH/PCCA/MRPL45/MRRF/NUDT2/HSD17B10/HSPA9/MCCC1/MDH2/NUDT9/AUH/ECI1/ACOT13/ETHE1/ALDH7A1/PCCB/HADHB/PDHX/NDUFAB1
CC,GO:0001533,cornified envelope,19,-0.855679127672692,-2.4622304831975863,1.0481271154919917e-8,1.0159845506169041e-5,9.352235981389948e-6,170,"tags=68%, list=8%, signal=63%",KRT2/CASP14/KRT16/FLG/JUP/KRT14/KRT1/KRT10/CSTA/KRT17/DSG1/DSC1/CDSN
BP,GO:0003012,muscle system process,129,0.5453623566948831,2.1491836770847743,1.4737306251547135e-8,1.044091684613694e-5,9.61096486633108e-6,134,"tags=21%, list=6%, signal=21%",MYH6/MYH4/MYL3/MYL2/MYBPH/MYH3/TNNC1/TNNI1/ATP2A2/ANKRD2/MYOZ2/MYH1/LMCD1/CSRP3/MYL6B/TPM3/SMPX/CRYAB/CASQ2/TNNT1/KLHL41/ANK2/SETD3/ATP1A1/CALD1/NOS1/MYOT
CC,GO:0030017,sarcomere,136,0.5300358557543939,2.1106541683720663,1.7952057850991985e-8,1.044091684613694e-5,9.61096486633108e-6,188,"tags=24%, list=9%, signal=23%",MYH6/MYH4/MYL3/ACTC1/MYL2/MYBPH/MYH3/TNNC1/TNNI1/ANKRD2/MYOZ2/MYH1/CSRP3/KLHL40/NRAP/TPM3/SMPX/CRYAB/CASQ2/MYOM3/XIRP2/TNNT1/KLHL41/ANK2/NEXN/PGM5/CSRP1/MYOT/PDLIM1/DNAJB4/SMTNL1/FLNC
BP,GO:0006936,muscle contraction,109,0.5622131605180023,2.179079610200312,3.2297648232949574e-8,1.2530163505907109e-5,1.1534136608818424e-5,134,"tags=23%, list=6%, signal=23%",MYH6/MYH4/MYL3/MYL2/MYBPH/MYH3/TNNC1/TNNI1/ATP2A2/ANKRD2/MYH1/CSRP3/MYL6B/TPM3/SMPX/CRYAB/CASQ2/TNNT1/KLHL41/ANK2/SETD3/ATP1A1/CALD1/NOS1/MYOT
CC,GO:0030016,myofibril,147,0.5173480311375764,2.0758845311265506,3.186600130244651e-8,1.2530163505907109e-5,1.1534136608818424e-5,188,"tags=22%, list=9%, signal=22%",MYH6/MYH4/MYL3/ACTC1/MYL2/MYBPH/MYH3/TNNC1/TNNI1/ANKRD2/MYOZ2/MYH1/CSRP3/KLHL40/NRAP/TPM3/SMPX/CRYAB/CASQ2/MYOM3/XIRP2/TNNT1/KLHL41/ANK2/NEXN/PGM5/CSRP1/CALD1/MYOT/PDLIM1/DNAJB4/SMTNL1/FLNC
CC,GO:0043292,contractile muscle fiber,149,0.5154919084937862,2.068011891657154,3.4470876219826985e-8,1.2530163505907109e-5,1.1534136608818424e-5,139,"tags=21%, list=7%, signal=21%",MYH6/MYH4/MYL3/ACTC1/MYL2/MYBPH/MYH3/TNNC1/TNNI1/ANKRD2/MYOZ2/MYH1/CSRP3/KLHL40/NRAP/MYL6B/TPM3/SMPX/CRYAB/CASQ2/MYOM3/XIRP2/TNNT1/KLHL41/ANK2/NEXN/PGM5/CSRP1/CALD1/MYOT/PDLIM1
BP,GO:0055001,muscle cell development,74,0.6147763991425363,2.242078659879492,4.5433304585327015e-8,1.468000552601455e-5,1.3513086966138784e-5,112,"tags=24%, list=5%, signal=24%",MYH6/ACTC1/MYL2/MYBPH/MYH3/ATP2A2/MYOZ2/CSRP3/KLHL40/NRAP/MYOM3/TNNT1/KLHL41/FLII/ANK2/UCHL1/PGM5/CSRP1
BP,GO:0003206,cardiac chamber morphogenesis,11,0.91509143701388,2.136990875838491,2.2366215732534381e-7,6.504095535020998e-5,5.98708280082473e-5,12,"tags=45%, list=1%, signal=45%",MYH6/MYL3/MYL2/TNNC1/TNNI1
