ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0042773,ATP synthesis coupled electron transport,61,-0.7319361137655395,-2.989068732066663,1.1218583872090515e-15,8.587751057932232e-13,7.221829220821655e-13,426,"tags=74%, list=20%, signal=61%",NDUFA7/NDUFS1/NDUFA12/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/COA6/NDUFA9/NDUFV2/DLD/NDUFS3/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0042775,mitochondrial ATP synthesis coupled electron transport,61,-0.7319361137655395,-2.989068732066663,1.1218583872090515e-15,8.587751057932232e-13,7.221829220821655e-13,426,"tags=74%, list=20%, signal=61%",NDUFA7/NDUFS1/NDUFA12/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/COA6/NDUFA9/NDUFV2/DLD/NDUFS3/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0015980,energy derivation by oxidation of organic compounds,144,-0.5609869681429306,-2.668579300231418,1.1828858206518227e-15,8.587751057932232e-13,7.221829220821655e-13,559,"tags=62%, list=26%, signal=49%",PDHB/NDUFA13/IDH3B/DLAT/HCCS/GYS1/SUCLG2/UQCC2/NDUFB11/NDUFB5/COQ10A/PDHA1/IDH3G/IDH1/SLC25A12/ACO1/PLEC/PNPT1/CS/NDUFA7/NDUFS1/NDUFA12/IDH2/MDH1/PHKA1/COX4I1/DLST/NDUFB8/UQCRC2/NDUFV1/NDUFC1/LYRM7/ACO2/OGDH/COA6/SOD2/NDUFA9/SIRT3/NDUFV2/DLD/ATG3/NDUFS3/PPIF/NDUFV3/NDUFA6/NDUFS2/MFN2/COX6A2/UQCRC1/ACADM/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SUCLG1/SDHA/UQCRB/COX6C/SUCLA2/ETFDH/COX5B/NDUFS5/EPM2A/COX5A/NDUFB3/COX7C/NDUFS6/ACTN3/BNIP3/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/NNT/SORBS1/PPP1R3D/CYC1/NDUFB9/CISD1/COX7A2L/NDUFA8/ADHFE1/PPP1R1A/NDUFB7/GYG1
GO:0045333,cellular respiration,116,-0.6029003733678853,-2.751908744745922,1.657554576832737e-15,9.025384670854253e-13,7.589855167602532e-13,559,"tags=69%, list=26%, signal=54%",PDHB/NDUFA13/IDH3B/DLAT/HCCS/SUCLG2/UQCC2/NDUFB11/NDUFB5/COQ10A/PDHA1/IDH3G/IDH1/SLC25A12/ACO1/PLEC/PNPT1/CS/NDUFA7/NDUFS1/NDUFA12/IDH2/MDH1/COX4I1/DLST/NDUFB8/UQCRC2/NDUFV1/NDUFC1/LYRM7/ACO2/OGDH/COA6/SOD2/NDUFA9/SIRT3/NDUFV2/DLD/NDUFS3/PPIF/NDUFV3/NDUFA6/NDUFS2/MFN2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SUCLG1/SDHA/UQCRB/COX6C/SUCLA2/ETFDH/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/ACTN3/BNIP3/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/NNT/CYC1/NDUFB9/CISD1/COX7A2L/NDUFA8/NDUFB7
GO:0022904,respiratory electron transport chain,72,-0.6857772921825305,-2.8682602922151927,9.627556994694406e-15,4.193763826888883e-12,3.526726141214371e-12,426,"tags=67%, list=20%, signal=55%",NDUFA7/NDUFS1/NDUFA12/MDH1/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/COA6/SOD2/NDUFA9/NDUFV2/DLD/NDUFS3/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/ETFDH/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0022900,electron transport chain,73,-0.6785659040214396,-2.8516816618559155,1.2247312330958806e-14,4.445774376138046e-12,3.738653237871636e-12,426,"tags=66%, list=20%, signal=54%",NDUFA7/NDUFS1/NDUFA12/MDH1/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/COA6/SOD2/NDUFA9/NDUFV2/DLD/NDUFS3/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/ETFDH/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0019646,aerobic electron transport chain,58,-0.7316750804677994,-2.961894491333593,1.5592823360967244e-14,4.851595611455237e-12,4.079926713997444e-12,426,"tags=74%, list=20%, signal=61%",NDUFA7/NDUFS1/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/NDUFA9/NDUFV2/DLD/NDUFS3/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0009060,aerobic respiration,101,-0.6039486255668364,-2.6895289864556,1.5515340994821493e-13,4.224051585840152e-11,3.552196490919658e-11,559,"tags=70%, list=26%, signal=54%",PDHB/NDUFA13/IDH3B/DLAT/SUCLG2/UQCC2/NDUFB11/NDUFB5/PDHA1/IDH3G/IDH1/ACO1/CS/NDUFA7/NDUFS1/NDUFA12/IDH2/MDH1/COX4I1/DLST/NDUFB8/UQCRC2/NDUFV1/NDUFC1/ACO2/OGDH/COA6/NDUFA9/SIRT3/NDUFV2/DLD/NDUFS3/PPIF/NDUFV3/NDUFA6/NDUFS2/MFN2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SUCLG1/SDHA/UQCRB/COX6C/SUCLA2/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/ACTN3/BNIP3/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/NNT/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:0006119,oxidative phosphorylation,73,-0.6307020534900674,-2.650533233947557,1.1570688541534267e-11,2.8001066270512924e-9,2.3547366154701314e-9,426,"tags=64%, list=20%, signal=53%",NDUFA7/NDUFS1/NDUFA12/COX4I1/NDUFB8/UQCRC2/NDUFV1/NDUFC1/COA6/NDUFA9/NDUFV2/DLD/NDUFS3/PPIF/NDUFV3/NDUFA6/NDUFS2/COX6A2/UQCRC1/NDUFAB1/SNCA/SDHB/NDUFS8/NDUFC2/COX6B1/COQ9/SDHA/UQCRB/COX6C/COX5B/NDUFS5/COX5A/NDUFB3/COX7C/NDUFS6/ACTN3/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/CYCS/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
GO:1902600,proton transmembrane transport,65,-0.6510396426751938,-2.6632307016552716,2.223342599460628e-11,4.8424401816252474e-9,4.072227497959466e-9,426,"tags=58%, list=20%, signal=48%",NDUFA7/NDUFS1/NDUFA12/COX4I1/NDUFB8/NDUFV1/NDUFC1/NDUFA9/NDUFV2/NDUFS3/SLC25A3/PPIF/NDUFV3/NDUFA6/NDUFS2/ATP6V1A/UQCRC1/SLC25A4/NDUFS8/NDUFC2/COX6B1/COX5B/NDUFS5/COX5A/NDUFB3/NDUFS6/COX17/NDUFA5/NDUFB6/NDUFA10/NDUFS4/UQCRH/NNT/CYC1/NDUFB9/COX7A2L/NDUFA8/NDUFB7
