protein,sample,abundance,time,intervention,fiber_type,id,keywords,gobp,gocc,gomf,mito
MYH6,s_64,12.2261268921757,post,terbutaline,II,tin07,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_63,19.018819525108185,post,terbutaline,I,tin07,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_62,12.68450048300897,pre,terbutaline,II,tin07,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_19,18.844636552006797,post,resistance,I,tyr12,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_66,13.039459951626528,pre,terbutaline,II,tin08,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_31,18.786110071679875,post,resistance,I,tyr19,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_22,15.35319657378111,pre,resistance,II,tyr16,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_65,19.359406032907327,pre,terbutaline,I,tin08,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_53,18.858467522032996,pre,terbutaline,I,tin05,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_17,19.161462386529465,pre,resistance,I,tyr12,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
MYH6,s_75,18.73493863050721,post,terbutaline,I,tin13,Actin-binding;ATP-binding;Atrial septal defect;Calmodulin-binding;Cardiomyopathy;Coiled coil;Cytoplasm;Disease variant;Methylation;Motor protein;Muscle protein;Myosin;Nucleotide-binding;Phosphoprotein;Reference proteome;Thick filament,adult heart development [GO:0007512]; ATP metabolic process [GO:0046034]; atrial cardiac muscle tissue morphogenesis [GO:0055009]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cardiac muscle hypertrophy in response to stress [GO:0014898]; in utero embryonic development [GO:0001701]; muscle contraction [GO:0006936]; muscle filament sliding [GO:0030049]; myofibril assembly [GO:0030239]; regulation of ATP-dependent activity [GO:0043462]; regulation of blood pressure [GO:0008217]; regulation of heart contraction [GO:0008016]; regulation of heart growth [GO:0060420]; regulation of heart rate [GO:0002027]; regulation of the force of heart contraction [GO:0002026]; sarcomere organization [GO:0045214]; striated muscle contraction [GO:0006941]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]; visceral muscle development [GO:0007522],cytoplasm [GO:0005737]; cytosol [GO:0005829]; muscle myosin complex [GO:0005859]; myofibril [GO:0030016]; myosin complex [GO:0016459]; myosin filament [GO:0032982]; myosin II complex [GO:0016460]; sarcomere [GO:0030017]; stress fiber [GO:0001725]; Z disc [GO:0030018],actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; microfilament motor activity [GO:0000146]; myosin phosphatase activity [GO:0017018]; protein kinase binding [GO:0019901],NA
