protein,sample,abundance,intervention,fiber_type,relative_abundance
MYH1,s_42,851332.3311295963,terbutaline,II,14.177994728488146
MYH1,s_16,35490.642755603265,resistance,II,0.9664190446295964
MYH1,s_43,11918.272605543723,terbutaline,I,0.13571307481472542
MYH1,s_18,37490.1892711554,resistance,II,1.2811259492901157
MYH1,s_92,60452.55639139255,terbutaline,II,1.974697995459065
MYH1,s_83,1999.6145531305444,terbutaline,I,0.02945366832042352
MYH1,s_54,555434.335683658,terbutaline,II,10.527153814567496
MYH1,s_14,44981.695849666336,resistance,II,1.4591861411477145
MYH1,s_28,298759.1538462043,resistance,II,6.740541314441932
MYH1,s_10,883242.9567416629,resistance,II,12.255808209454573
MYH1,s_65,14013.255667997348,terbutaline,I,0.13299847662654632
MYH1,s_40,504137.29584038886,resistance,II,17.72402289841495
MYH1,s_9,9456.131451119447,resistance,I,0.13895410272952768
MYH1,s_39,9613.014627976385,resistance,I,0.16624775519558946
MYH1,s_51,19536.98039701891,terbutaline,I,0.2968388511187623
MYH1,s_17,7594.968947612642,resistance,I,0.1062641933707698
MYH1,s_41,10490.236841079808,terbutaline,I,0.15389644658076412
MYH1,s_11,19420.071733885212,resistance,I,0.4054195503224403
MYH1,s_27,126353.53123459715,resistance,I,1.7815850060340983
MYH1,s_91,8224.174879093107,terbutaline,I,0.27252557006213524
MYH1,s_12,226195.1359269355,resistance,II,5.111379623682221
MYH1,s_38,151281.93821123612,resistance,II,4.170213578228503
MYH1,s_44,228160.1021978894,terbutaline,II,4.336152555014959
MYH1,s_82,260042.65778269636,terbutaline,II,6.5802450000272295
MYH1,s_90,361859.33546801546,terbutaline,II,7.248852734156078
MYH1,s_84,142016.4787881474,terbutaline,II,4.364145270958525
MYH1,s_49,16266.487211142245,terbutaline,I,0.16851386246287775
MYH1,s_88,476950.42806460394,terbutaline,II,12.704889480903155
MYH1,s_37,131538.5175534313,resistance,I,2.5457593399588463
MYH1,s_22,380816.4892116944,resistance,II,6.725417650364876
MYH1,s_25,25257.524270978647,resistance,I,0.4262933883847791
MYH1,s_81,6028.577506838566,terbutaline,I,0.0913959838069634
MYH1,s_53,29751.91423556515,terbutaline,I,0.39665024342132144
MYH1,s_61,64369.531334258776,terbutaline,I,0.7085004764391352
MYH1,s_55,57718.633345479946,terbutaline,I,0.8809538428643604
MYH1,s_19,10024.245529555596,resistance,I,0.13685009025063335
MYH1,s_64,16093.030914632203,terbutaline,II,0.40129976172197646
MYH1,s_80,303969.4902952963,terbutaline,II,10.846330520110605
MYH1,s_59,15519.39449085521,terbutaline,I,0.18209479464672784
MYH1,s_60,143538.9478545555,terbutaline,II,3.249835607957018
MYH1,s_87,38449.32999210938,terbutaline,I,0.6698724382514801
MYH1,s_23,11040.553053168158,resistance,I,0.1842767828320551
MYH1,s_85,12736.336504441946,terbutaline,I,0.16957258085012725
MYH1,s_32,69276.38368630841,resistance,II,2.2195384356068395
MYH1,s_26,370980.89588372933,resistance,II,7.083479917565291
MYH1,s_24,455423.1806594789,resistance,II,11.838802585201794
MYH1,s_35,14385.741849295704,resistance,I,0.2092941070690106
MYH1,s_66,407942.49578677583,terbutaline,II,8.367524940771702
MYH1,s_67,9848.551191177115,terbutaline,I,0.10762566940305494
MYH1,s_36,175367.01666438577,resistance,II,3.7976308438757926
